"first_level_code"|"first_level"|"second_level_code"|"second_level"|"third_level_code"|"third_level"|"source"|"v_sqkm"|"r_sqkm"|"old_first_level_code"|"geom"
20071|"Guianan"|13|"North Brazil Shelf"|4|"Tropical Atlantic"|"meow"|"201930.082885565"|"201933.5880806398"|20071|NULL
20072|"Amazonia"|13|"North Brazil Shelf"|4|"Tropical Atlantic"|"meow"|"304281.574531081"|"304281.38102704356"|20072|NULL
20073|"Sao Pedro and Sao Paulo Islands"|14|"Tropical Southwestern Atlantic"|4|"Tropical Atlantic"|"meow"|"77.7972355418155"|"77.7992722975381"|20073|NULL
20074|"Fernando de Naronha and Atoll das Rocas"|14|"Tropical Southwestern Atlantic"|4|"Tropical Atlantic"|"meow"|"435.918351133949"|"435.94877354911154"|20074|NULL
20075|"Northeastern Brazil"|14|"Tropical Southwestern Atlantic"|4|"Tropical Atlantic"|"meow"|"83749.616129981"|"83755.65652575728"|20075|NULL
20076|"Eastern Brazil"|14|"Tropical Southwestern Atlantic"|4|"Tropical Atlantic"|"meow"|"112524.070058289"|"112522.33912095177"|20076|NULL
20077|"Trindade and Martin Vaz Islands"|14|"Tropical Southwestern Atlantic"|4|"Tropical Atlantic"|"meow"|"563.886847531984"|"563.85866733587"|20077|NULL
20078|"St. Helena and Ascension Islands"|15|"St. Helena and Ascension Islands"|4|"Tropical Atlantic"|"meow"|"1255.43513209003"|"1255.4204678436827"|20078|NULL
20079|"Cape Verde"|16|"West African Transition"|4|"Tropical Atlantic"|"meow"|"10648.3444401261"|"10648.516358681434"|20079|NULL
20082|"Gulf of Guinea Upwelling"|17|"Gulf of Guinea"|4|"Tropical Atlantic"|"meow"|"36959.9161453485"|"36956.3535325897"|20082|NULL
20083|"Gulf of Guinea Central"|17|"Gulf of Guinea"|4|"Tropical Atlantic"|"meow"|"93066.0493554712"|"93060.8333549239"|20083|NULL
20084|"Gulf of Guinea Islands"|17|"Gulf of Guinea"|4|"Tropical Atlantic"|"meow"|"3720.03459037898"|"3719.906848509453"|20084|NULL
20087|"Northern and Central Red Sea"|18|"Red Sea and Gulf of Aden"|5|"Western Indo-Pacific"|"meow"|"66694.3984431865"|"66695.84957424483"|20087|NULL
20088|"Southern Red Sea"|18|"Red Sea and Gulf of Aden"|5|"Western Indo-Pacific"|"meow"|"157112.538238232"|"157113.0507823421"|20088|NULL
20089|"Gulf of Aden"|18|"Red Sea and Gulf of Aden"|5|"Western Indo-Pacific"|"meow"|"61174.949169872"|"61174.62197983408"|20089|NULL
20090|"Arabian (Persian) Gulf"|19|"Somali/Arabian"|5|"Western Indo-Pacific"|"meow"|"239412.667315399"|"239413.74056650876"|20090|NULL
20091|"Gulf of Oman"|19|"Somali/Arabian"|5|"Western Indo-Pacific"|"meow"|"51442.1908559645"|"51439.316186828146"|20091|NULL
20092|"Western Arabian Sea"|19|"Somali/Arabian"|5|"Western Indo-Pacific"|"meow"|"62332.0460468265"|"62329.25307602467"|20092|NULL
20093|"Central Somali Coast"|19|"Somali/Arabian"|5|"Western Indo-Pacific"|"meow"|"38200.2060577227"|"38201.65748091927"|20093|NULL
20094|"Northern Monsoon Current Coast"|20|"Western Indian Ocean"|5|"Western Indo-Pacific"|"meow"|"13324.9990400944"|"13325.074389363683"|20094|NULL
20095|"East African Coral Coast"|20|"Western Indian Ocean"|5|"Western Indo-Pacific"|"meow"|"45299.4893462401"|"45301.99977346798"|20095|NULL
20096|"Seychelles"|20|"Western Indian Ocean"|5|"Western Indo-Pacific"|"meow"|"64832.8386642835"|"64833.00724501551"|20096|NULL
20097|"Cargados Carajos/Tromelin Island"|20|"Western Indian Ocean"|5|"Western Indo-Pacific"|"meow"|"103661.134310785"|"103661.228771938"|20097|NULL
20098|"Mascarene Islands"|20|"Western Indian Ocean"|5|"Western Indo-Pacific"|"meow"|"8497.87927210607"|"8497.753498923468"|20098|NULL
20099|"Southeast Madagascar"|20|"Western Indian Ocean"|5|"Western Indo-Pacific"|"meow"|"34064.8449101113"|"34067.452667860765"|20099|NULL
20100|"Western and Northern Madagascar"|20|"Western Indian Ocean"|5|"Western Indo-Pacific"|"meow"|"133452.904547116"|"133453.5194061294"|20100|NULL
20101|"Bight of Sofala/Swamp Coast"|20|"Western Indian Ocean"|5|"Western Indo-Pacific"|"meow"|"58992.3290388153"|"58992.19714391582"|20101|NULL
20102|"Delagoa"|20|"Western Indian Ocean"|5|"Western Indo-Pacific"|"meow"|"27827.374749186"|"27828.009795191443"|20102|NULL
20103|"Western India"|21|"West and South Indian Shelf"|5|"Western Indo-Pacific"|"meow"|"309726.081012389"|"309721.1487270305"|20103|NULL
20104|"South India and Sri Lanka"|21|"West and South Indian Shelf"|5|"Western Indo-Pacific"|"meow"|"77693.2539683465"|"77691.46974862927"|20104|NULL
20105|"Maldives"|22|"Central Indian Ocean Islands"|5|"Western Indo-Pacific"|"meow"|"53111.1567729262"|"53111.60608257787"|20105|NULL
20106|"Chagos"|22|"Central Indian Ocean Islands"|5|"Western Indo-Pacific"|"meow"|"25731.9623511939"|"25732.086663532114"|20106|NULL
20107|"Eastern India"|23|"Bay of Bengal"|5|"Western Indo-Pacific"|"meow"|"52098.7851893222"|"52099.26605290238"|20107|NULL
20108|"Northern Bay of Bengal"|23|"Bay of Bengal"|5|"Western Indo-Pacific"|"meow"|"236097.647886165"|"236099.70817757817"|20108|NULL
20109|"Andaman and Nicobar Islands"|24|"Andaman"|5|"Western Indo-Pacific"|"meow"|"54431.3785016321"|"54430.33337887709"|20109|NULL
20110|"Andaman Sea Coral Coast"|24|"Andaman"|5|"Western Indo-Pacific"|"meow"|"154367.299279619"|"154366.7678942351"|20110|NULL
20111|"Western Sumatra"|24|"Andaman"|5|"Western Indo-Pacific"|"meow"|"104360.309833327"|"104360.14931844329"|20111|NULL
20112|"Gulf of Tonkin"|25|"South China Sea"|6|"Central Indo-Pacific"|"meow"|"242333.54492996"|"242317.07907186885"|20112|NULL
20113|"Southern China"|25|"South China Sea"|6|"Central Indo-Pacific"|"meow"|"231783.096181532"|"231767.68789144309"|20113|NULL
20114|"South China Sea Oceanic Islands"|25|"South China Sea"|6|"Central Indo-Pacific"|"meow"|"67963.0369393074"|"67963.76153255261"|20114|NULL
20115|"Gulf of Thailand"|26|"Sunda Shelf"|6|"Central Indo-Pacific"|"meow"|"269454.619923273"|"269528.2755537053"|20115|NULL
20116|"Southern Vietnam"|26|"Sunda Shelf"|6|"Central Indo-Pacific"|"meow"|"115860.573240156"|"115847.82132477796"|20116|NULL
20117|"Sunda Shelf/Java Sea"|26|"Sunda Shelf"|6|"Central Indo-Pacific"|"meow"|"1313004.3448323"|"1312904.9920500473"|20117|NULL
20118|"Malacca Strait"|26|"Sunda Shelf"|6|"Central Indo-Pacific"|"meow"|"136099.532244278"|"136095.95592778487"|20118|NULL
20119|"Southern Java"|27|"Java Transitional"|6|"Central Indo-Pacific"|"meow"|"65383.2876907988"|"65378.91440168604"|20119|NULL
20120|"Cocos-Keeling/Christmas Island"|27|"Java Transitional"|6|"Central Indo-Pacific"|"meow"|"1445.67739897535"|"1445.5932790207464"|20120|NULL
20121|"South Kuroshio"|28|"South Kuroshio"|6|"Central Indo-Pacific"|"meow"|"42496.901688845"|"42495.80940384265"|20121|NULL
20122|"Ogasawara Islands"|29|"Tropical Northwestern Pacific"|6|"Central Indo-Pacific"|"meow"|"7312.48632159018"|"7312.523289926476"|20122|NULL
20123|"Mariana Islands"|29|"Tropical Northwestern Pacific"|6|"Central Indo-Pacific"|"meow"|"7601.40812956229"|"7601.476448592449"|20123|NULL
20124|"East Caroline Islands"|29|"Tropical Northwestern Pacific"|6|"Central Indo-Pacific"|"meow"|"35358.7359250536"|"35359.291872995746"|20124|NULL
20125|"West Caroline Islands"|29|"Tropical Northwestern Pacific"|6|"Central Indo-Pacific"|"meow"|"7828.52883543109"|"7828.75676147355"|20125|NULL
20126|"Palawan/North Borneo"|30|"Western Coral Triangle"|6|"Central Indo-Pacific"|"meow"|"259207.161034736"|"259209.72566083982"|20126|NULL
20127|"Eastern Philippines"|30|"Western Coral Triangle"|6|"Central Indo-Pacific"|"meow"|"171018.752485936"|"171020.8899840283"|20127|NULL
20128|"Sulawesi Sea/Makassar Strait"|30|"Western Coral Triangle"|6|"Central Indo-Pacific"|"meow"|"200476.703050068"|"200509.93642156702"|20128|NULL
20129|"Halmahera"|30|"Western Coral Triangle"|6|"Central Indo-Pacific"|"meow"|"34238.294819228"|"34237.19593674439"|20129|NULL
20130|"Papua"|30|"Western Coral Triangle"|6|"Central Indo-Pacific"|"meow"|"117929.993756209"|"117931.88241304504"|20130|NULL
20131|"Banda Sea"|30|"Western Coral Triangle"|6|"Central Indo-Pacific"|"meow"|"119104.883133146"|"119104.4465130604"|20131|NULL
20132|"Lesser Sunda"|30|"Western Coral Triangle"|6|"Central Indo-Pacific"|"meow"|"60877.1256298202"|"60878.0129957359"|20132|NULL
20133|"Northeast Sulawesi"|30|"Western Coral Triangle"|6|"Central Indo-Pacific"|"meow"|"16173.3251604794"|"16172.755771574532"|20133|NULL
20134|"Bismarck Sea"|31|"Eastern Coral Triangle"|6|"Central Indo-Pacific"|"meow"|"57570.7412092429"|"57574.75982426024"|20134|NULL
20135|"Solomon Archipelago"|31|"Eastern Coral Triangle"|6|"Central Indo-Pacific"|"meow"|"78492.3806228468"|"78493.51876675218"|20135|NULL
20136|"Solomon Sea"|31|"Eastern Coral Triangle"|6|"Central Indo-Pacific"|"meow"|"83561.1833659848"|"83560.28786905155"|20136|NULL
20137|"Southeast Papua New Guinea"|31|"Eastern Coral Triangle"|6|"Central Indo-Pacific"|"meow"|"10149.6737571548"|"10148.504820679329"|20137|NULL
20138|"Gulf of Papua"|32|"Sahul Shelf"|6|"Central Indo-Pacific"|"meow"|"50952.3669520396"|"50949.643857482"|20138|NULL
20139|"Arafura Sea"|32|"Sahul Shelf"|6|"Central Indo-Pacific"|"meow"|"357153.186302421"|"357043.5066925386"|20139|NULL
20140|"Arnhem Coast to Gulf of Carpenteria"|32|"Sahul Shelf"|6|"Central Indo-Pacific"|"meow"|"574593.271944382"|"574694.7092070205"|20140|NULL
20141|"Bonaparte Coast"|32|"Sahul Shelf"|6|"Central Indo-Pacific"|"meow"|"331728.184122453"|"331732.3654628548"|20141|NULL
20142|"Torres Strait Northern Great Barrier Reef"|33|"Northeast Australian Shelf"|6|"Central Indo-Pacific"|"meow"|"101198.114887709"|"101210.38514784815"|20142|NULL
20143|"Central and Southern Great Barrier Reef"|33|"Northeast Australian Shelf"|6|"Central Indo-Pacific"|"meow"|"189617.913897377"|"189622.9468692306"|20143|NULL
20144|"Exmouth to Broome"|34|"Northwest Australian Shelf"|6|"Central Indo-Pacific"|"meow"|"295923.174969276"|"295927.23460012383"|20144|NULL
20145|"Ningaloo"|34|"Northwest Australian Shelf"|6|"Central Indo-Pacific"|"meow"|"8872.11363587129"|"8870.671350718187"|20145|NULL
20146|"Tonga Islands"|35|"Tropical Southwestern Pacific"|6|"Central Indo-Pacific"|"meow"|"12061.3577619874"|"12061.748991989325"|20146|NULL
20148|"Vanuatu"|35|"Tropical Southwestern Pacific"|6|"Central Indo-Pacific"|"meow"|"29776.1040153089"|"29775.75436790877"|20148|NULL
20149|"New Caledonia"|35|"Tropical Southwestern Pacific"|6|"Central Indo-Pacific"|"meow"|"87771.8616639049"|"87772.21854051722"|20149|NULL
20150|"Coral Sea"|35|"Tropical Southwestern Pacific"|6|"Central Indo-Pacific"|"meow"|"26457.3102501208"|"26453.7130489036"|20150|NULL
20151|"Lord Howe and Norfolk Islands"|36|"Lord Howe and Norfolk Islands"|6|"Central Indo-Pacific"|"meow"|"9277.17258107263"|"9277.090996261086"|20151|NULL
20153|"Marshall Islands"|38|"Marshall, Gilbert and Ellis Islands"|7|"Eastern Indo-Pacific"|"meow"|"30194.3651572392"|"30195.161486955065"|20153|NULL
20155|"Line Islands"|39|"Central Polynesia"|7|"Eastern Indo-Pacific"|"meow"|"4472.73012162502"|"4472.831063903023"|20155|NULL
20156|"Phoenix/Tokelau/Northern Cook Islands"|39|"Central Polynesia"|7|"Eastern Indo-Pacific"|"meow"|"5023.35425706554"|"5023.284770261654"|20156|NULL
20157|"Samoa Islands"|39|"Central Polynesia"|7|"Eastern Indo-Pacific"|"meow"|"7365.72813302006"|"7365.679959185184"|20157|NULL
20158|"Tuamotus"|40|"Southeast Polynesia"|7|"Eastern Indo-Pacific"|"meow"|"37104.4383694525"|"37104.809945882786"|20158|NULL
20159|"Rapa-Pitcairn"|40|"Southeast Polynesia"|7|"Eastern Indo-Pacific"|"meow"|"1354.69309394376"|"1354.7006035098518"|20159|NULL
20160|"Southern Cook/Austral Islands"|40|"Southeast Polynesia"|7|"Eastern Indo-Pacific"|"meow"|"3681.094043731"|"3681.085450077519"|20160|NULL
20161|"Society Islands"|40|"Southeast Polynesia"|7|"Eastern Indo-Pacific"|"meow"|"5474.05136603822"|"5474.323160234153"|20161|NULL
20162|"Marquesas"|41|"Marquesas"|7|"Eastern Indo-Pacific"|"meow"|"4628.79755758102"|"4628.765135475705"|20162|NULL
20163|"Easter Island"|42|"Easter Island"|7|"Eastern Indo-Pacific"|"meow"|"712.154785808082"|"712.1513009448422"|20163|NULL
20164|"Revillagigedos"|43|"Tropical East Pacific"|8|"Tropical Eastern Pacific"|"meow"|"969.49798908912"|"969.4918657742386"|20164|NULL
20165|"Clipperton"|43|"Tropical East Pacific"|8|"Tropical Eastern Pacific"|"meow"|"151.394824905105"|"151.3828988226822"|20165|NULL
20166|"Mexican Tropical Pacific"|43|"Tropical East Pacific"|8|"Tropical Eastern Pacific"|"meow"|"17493.256166581"|"17493.230211267877"|20166|NULL
20167|"Chiapas-Nicaragua"|43|"Tropical East Pacific"|8|"Tropical Eastern Pacific"|"meow"|"92138.7322665569"|"92139.2994904511"|20167|NULL
20168|"Nicoya"|43|"Tropical East Pacific"|8|"Tropical Eastern Pacific"|"meow"|"31225.3714681267"|"31224.852147092657"|20168|NULL
20169|"Cocos Islands"|43|"Tropical East Pacific"|8|"Tropical Eastern Pacific"|"meow"|"261.359485464152"|"261.3347187949848"|20169|NULL
20170|"Panama Bight"|43|"Tropical East Pacific"|8|"Tropical Eastern Pacific"|"meow"|"64281.3831732559"|"64281.32120317084"|20170|NULL
20171|"Guayaquil"|43|"Tropical East Pacific"|8|"Tropical Eastern Pacific"|"meow"|"31025.5661867501"|"31025.554508507368"|20171|NULL
20172|"Northern Galapagos Islands"|44|"Galapagos"|8|"Tropical Eastern Pacific"|"meow"|"445.13977302113"|"445.147518229897"|20172|NULL
20173|"Eastern Galapagos Islands"|44|"Galapagos"|8|"Tropical Eastern Pacific"|"meow"|"13318.0012960637"|"13317.99241801981"|20173|NULL
20174|"Western Galapagos Islands"|44|"Galapagos"|8|"Tropical Eastern Pacific"|"meow"|"2819.09429930092"|"2818.8341928569735"|20174|NULL
20175|"Central Peru"|45|"Warm Temperate Southeastern Pacific"|9|"Temperate South America"|"meow"|"62985.4027415236"|"62983.468330933734"|20175|NULL
20176|"Humboldtian"|45|"Warm Temperate Southeastern Pacific"|9|"Temperate South America"|"meow"|"36017.8920448069"|"36013.74381535046"|20176|NULL
20177|"Central Chile"|45|"Warm Temperate Southeastern Pacific"|9|"Temperate South America"|"meow"|"12667.0410017849"|"12664.611773449395"|20177|NULL
20178|"Araucanian"|45|"Warm Temperate Southeastern Pacific"|9|"Temperate South America"|"meow"|"38110.0851196589"|"38107.80722876887"|20178|NULL
20179|"Juan Fernández and Desventuradas"|46|"Juan Fernández and Desventuradas"|9|"Temperate South America"|"meow"|"1816.5848486627"|"1816.6132367168498"|20179|NULL
20180|"Southeastern Brazil"|47|"Warm Temperate Southwestern Atlantic"|9|"Temperate South America"|"meow"|"156556.586630202"|"156553.57960890548"|20180|NULL
20181|"Rio Grande"|47|"Warm Temperate Southwestern Atlantic"|9|"Temperate South America"|"meow"|"115196.572780151"|"115158.10283933974"|20181|NULL
20182|"Rio de la Plata"|47|"Warm Temperate Southwestern Atlantic"|9|"Temperate South America"|"meow"|"31878.5543101661"|"31768.805978513563"|20182|NULL
20183|"Uruguay-Buenos Aires Shelf"|47|"Warm Temperate Southwestern Atlantic"|9|"Temperate South America"|"meow"|"259085.071514297"|"258210.4162010988"|20183|NULL
20186|"Malvinas/Falklands"|48|"Magellanic"|9|"Temperate South America"|"meow"|"174754.971275422"|"175117.05994435263"|20186|NULL
20187|"Channels and Fjords of Southern Chile"|48|"Magellanic"|9|"Temperate South America"|"meow"|"142039.702215003"|"142055.48485495994"|20187|NULL
20188|"Chiloense"|48|"Magellanic"|9|"Temperate South America"|"meow"|"61635.6187099043"|"61636.21359967686"|20188|NULL
20189|"Tristan Gough"|49|"Tristan Gough"|9|"Temperate South America"|"meow"|"1885.24382759523"|"1885.197279097236"|20189|NULL
20191|"Namaqua"|50|"Benguela"|10|"Temperate Southern Africa"|"meow"|"88388.9574201087"|"88392.71037245324"|20191|NULL
20192|"Agulhas Bank"|51|"Agulhas"|10|"Temperate Southern Africa"|"meow"|"99623.726916733"|"99620.62523784974"|20192|NULL
20193|"Natal"|51|"Agulhas"|10|"Temperate Southern Africa"|"meow"|"22824.5477948958"|"22822.782208741253"|20193|NULL
20194|"Amsterdam-St Paul"|52|"Amsterdam-St Paul"|10|"Temperate Southern Africa"|"meow"|"932.062059540234"|"932.0624124559752"|20194|NULL
20197|"Three Kings-North Cape"|53|"Northern New Zealand"|11|"Temperate Australasia"|"meow"|"7015.55336690927"|"7015.3565310564845"|20197|NULL
20200|"South New Zealand"|54|"Southern New Zealand"|11|"Temperate Australasia"|"meow"|"43588.4709571143"|"43581.01474137829"|20200|NULL
20201|"Snares Island"|54|"Southern New Zealand"|11|"Temperate Australasia"|"meow"|"19093.7970373149"|"19102.21026921556"|20201|NULL
20202|"Tweed-Moreton"|55|"East Central Australian Shelf"|11|"Temperate Australasia"|"meow"|"45993.0172284924"|"45994.01563106681"|20202|NULL
20203|"Manning-Hawkesbury"|55|"East Central Australian Shelf"|11|"Temperate Australasia"|"meow"|"22846.3620486452"|"22845.855370272373"|20203|NULL
20204|"Cape Howe"|56|"Southeast Australian Shelf"|11|"Temperate Australasia"|"meow"|"65402.19472725"|"65399.2915728933"|20204|NULL
20205|"Bassian"|56|"Southeast Australian Shelf"|11|"Temperate Australasia"|"meow"|"102291.173021542"|"102293.13603726981"|20205|NULL
20206|"Western Bassian"|56|"Southeast Australian Shelf"|11|"Temperate Australasia"|"meow"|"73439.540504202"|"73474.41358353331"|20206|NULL
20207|"South Australian Gulfs"|57|"Southwest Australian Shelf"|11|"Temperate Australasia"|"meow"|"102352.79944487"|"102398.89217648875"|20207|NULL
20208|"Great Australian Bight"|57|"Southwest Australian Shelf"|11|"Temperate Australasia"|"meow"|"150881.220042747"|"150791.98987150105"|20208|NULL
20209|"Leeuwin"|57|"Southwest Australian Shelf"|11|"Temperate Australasia"|"meow"|"81400.0076382168"|"81399.5088543679"|20209|NULL
20210|"Shark Bay"|58|"West Central Australian Shelf"|11|"Temperate Australasia"|"meow"|"55606.4292377879"|"55605.726891657396"|20210|NULL
20211|"Houtman"|58|"West Central Australian Shelf"|11|"Temperate Australasia"|"meow"|"34977.7597732911"|"34978.501436287625"|20211|NULL
20212|"Macquarie Island"|59|"Subantarctic Islands"|12|"Southern Ocean"|"meow"|"4201.80992590311"|"4201.840927653224"|20212|NULL
20213|"Heard and Macdonald Islands"|59|"Subantarctic Islands"|12|"Southern Ocean"|"meow"|"8192.32278721694"|"8192.75945128648"|20213|NULL
20214|"Kerguelen Islands"|59|"Subantarctic Islands"|12|"Southern Ocean"|"meow"|"69895.8102296085"|"69895.8282288673"|20214|NULL
20215|"Crozet Islands"|59|"Subantarctic Islands"|12|"Southern Ocean"|"meow"|"8078.37370930821"|"8078.454121780424"|20215|NULL
20216|"Prince Edward Islands"|59|"Subantarctic Islands"|12|"Southern Ocean"|"meow"|"1492.91578599928"|"1492.9833128697655"|20216|NULL
20217|"Bouvet Island"|59|"Subantarctic Islands"|12|"Southern Ocean"|"meow"|"526.078770662812"|"526.0435780029951"|20217|NULL
20218|"Peter the First Island"|59|"Subantarctic Islands"|12|"Southern Ocean"|"meow"|"838.08578348329"|"838.0915525577572"|20218|NULL
20219|"South Sandwich Islands"|60|"Scotia Sea"|12|"Southern Ocean"|"meow"|"2698.28979242103"|"2698.3402005852763"|20219|NULL
20220|"South Georgia"|60|"Scotia Sea"|12|"Southern Ocean"|"meow"|"33755.5378754249"|"33755.42944051362"|20220|NULL
20221|"South Orkney Islands"|60|"Scotia Sea"|12|"Southern Ocean"|"meow"|"9195.73477251066"|"9195.745311795585"|20221|NULL
20222|"South Shetland Islands"|60|"Scotia Sea"|12|"Southern Ocean"|"meow"|"27257.0059047199"|"27256.82168278247"|20222|NULL
20223|"Antarctic Peninsula"|60|"Scotia Sea"|12|"Southern Ocean"|"meow"|"151538.287845435"|"151453.0148688533"|20223|NULL
20224|"East Antarctic Wilkes Land"|61|"Continental High Antarctic"|12|"Southern Ocean"|"meow"|"320219.977280379"|"320223.7424355936"|20224|NULL
20225|"East Antarctic Enderby Land"|61|"Continental High Antarctic"|12|"Southern Ocean"|"meow"|"19858.225532251"|"19858.91674086988"|20225|NULL
20226|"East Antarctic Dronning Maud Land"|61|"Continental High Antarctic"|12|"Southern Ocean"|"meow"|"123612.882419818"|"123615.2538685781"|20226|NULL
20227|"Weddell Sea"|61|"Continental High Antarctic"|12|"Southern Ocean"|"meow"|"652357.964806272"|"652364.6075210829"|20227|NULL
20228|"Amundsen/Bellingshausen Sea"|61|"Continental High Antarctic"|12|"Southern Ocean"|"meow"|"315274.606380797"|"315390.70355781226"|20228|NULL
20229|"Ross Sea"|61|"Continental High Antarctic"|12|"Southern Ocean"|"meow"|"581135.981573406"|"581185.1709812103"|20229|NULL
20231|"Campbell Island"|62|"Subantarctic New Zealand"|12|"Southern Ocean"|"meow"|"12060.1408458126"|"12060.165827791727"|20231|NULL
20232|"Auckland Island"|62|"Subantarctic New Zealand"|12|"Southern Ocean"|"meow"|"17631.330635911"|"17631.501091426588"|20232|NULL
21101|"Marielandia Antarctic tundra"|11|"Tundra"|2|"Antarctic"|"teow"|"1081132.29020484"|"1081123.68388347"|21101|NULL
21102|"Maudlandia Antarctic desert"|11|"Tundra"|2|"Antarctic"|"teow"|"1979908.06338664"|"1979847.05477332"|21102|NULL
21103|"Scotia Sea Islands tundra"|11|"Tundra"|2|"Antarctic"|"teow"|"3744.71540321754"|"3744.11190331414"|21103|NULL
21104|"Southern Indian Ocean Islands tundra"|11|"Tundra"|2|"Antarctic"|"teow"|"7538.45820096766"|"7537.61775364191"|21104|NULL
25007|"Baffin Bay - Davis Strait"|1|"Arctic"|1|"Arctic"|"meow"|"78175.5045343592"|"78172.1532480844"|25007|NULL
25009|"Lancaster Sound"|1|"Arctic"|1|"Arctic"|"meow"|"191355.153337657"|"191387.1426876549"|25009|NULL
25010|"High Arctic Archipelago"|1|"Arctic"|1|"Arctic"|"meow"|"223688.245038515"|"223770.94758371916"|25010|NULL
25014|"Eastern Bering Sea"|1|"Arctic"|1|"Arctic"|"meow"|"918688.241914838"|"918687.1475153241"|25014|NULL
25031|"Aegean Sea"|4|"Mediterranean Sea"|2|"Temperate Northern Atlantic"|"meow"|"126292.151050636"|"126288.87608362865"|25031|NULL
25032|"Levantine Sea"|4|"Mediterranean Sea"|2|"Temperate Northern Atlantic"|"meow"|"76748.6470270989"|"76752.27998729532"|25032|NULL
25033|"Tunisian Plateau/Gulf of Sidra"|4|"Mediterranean Sea"|2|"Temperate Northern Atlantic"|"meow"|"131868.544560139"|"131874.03268440484"|25033|NULL
25034|"Ionian Sea"|4|"Mediterranean Sea"|2|"Temperate Northern Atlantic"|"meow"|"60202.4501916224"|"60199.49787347463"|25034|NULL
25035|"Western Mediterranean"|4|"Mediterranean Sea"|2|"Temperate Northern Atlantic"|"meow"|"159306.714562999"|"159309.07899773866"|25035|NULL
25036|"Alboran Sea"|4|"Mediterranean Sea"|2|"Temperate Northern Atlantic"|"meow"|"20740.7654535196"|"20741.516399843706"|25036|NULL
25040|"Gulf of Maine/Bay of Fundy"|5|"Cold Temperate Northwest Atlantic"|2|"Temperate Northern Atlantic"|"meow"|"136202.37732609"|"136202.1365489445"|25040|NULL
25042|"Carolinian"|6|"Warm Temperate Northwest Atlantic"|2|"Temperate Northern Atlantic"|"meow"|"106791.468922321"|"106791.48797862025"|25042|NULL
25046|"Kamchatka Shelf and Coast"|8|"Cold Temperate Northwest Pacific"|3|"Temperate Northern Pacific"|"meow"|"150704.898090412"|"150703.32037688146"|25046|NULL
25055|"North American Pacific Fijordland"|10|"Cold Temperate Northeast Pacific"|3|"Temperate Northern Pacific"|"meow"|"118777.967793615"|"118779.51519279447"|25055|NULL
25056|"Puget Trough/Georgia Basin"|10|"Cold Temperate Northeast Pacific"|3|"Temperate Northern Pacific"|"meow"|"15306.4339788053"|"15306.640394036503"|25056|NULL
25057|"Oregon, Washington, Vancouver Coast and Shelf"|10|"Cold Temperate Northeast Pacific"|3|"Temperate Northern Pacific"|"meow"|"57030.1378140449"|"57029.63010557789"|25057|NULL
25058|"Northern California"|10|"Cold Temperate Northeast Pacific"|3|"Temperate Northern Pacific"|"meow"|"25054.9689548887"|"25054.603780732672"|25058|NULL
25059|"Southern California Bight"|11|"Warm Temperate Northeast Pacific"|3|"Temperate Northern Pacific"|"meow"|"47873.5816983187"|"47873.64198245807"|25059|NULL
25080|"Sahelian Upwelling"|16|"West African Transition"|4|"Tropical Atlantic"|"meow"|"62714.8188957502"|"62702.82762640888"|25080|NULL
25081|"Gulf of Guinea West"|17|"Gulf of Guinea"|4|"Tropical Atlantic"|"meow"|"142497.80187548"|"142494.50771493666"|25081|NULL
25085|"Gulf of Guinea South"|17|"Gulf of Guinea"|4|"Tropical Atlantic"|"meow"|"52254.4595639779"|"52255.35168833329"|25085|NULL
25086|"Angolan"|17|"Gulf of Guinea"|4|"Tropical Atlantic"|"meow"|"45828.3342560365"|"45826.527788963744"|25086|NULL
25147|"Fiji Islands"|35|"Tropical Southwestern Pacific"|6|"Central Indo-Pacific"|"meow"|"53335.592118544"|"53336.26441695368"|25147|NULL
25152|"Hawaii"|37|"Hawaii"|7|"Eastern Indo-Pacific"|"meow"|"31542.9626059569"|"31543.173144372886"|25152|NULL
25154|"Gilbert/Ellis Islands"|38|"Marshall, Gilbert and Ellis Islands"|7|"Eastern Indo-Pacific"|"meow"|"19045.2218133415"|"19044.87128087663"|25154|NULL
25184|"North Patagonian Gulfs"|48|"Magellanic"|9|"Temperate South America"|"meow"|"207587.313497627"|"208563.43512730626"|25184|NULL
25185|"Patagonian Shelf"|48|"Magellanic"|9|"Temperate South America"|"meow"|"402120.586662592"|"401790.0906045332"|25185|NULL
25190|"Namib"|50|"Benguela"|10|"Temperate Southern Africa"|"meow"|"72490.3735718213"|"72482.39806663585"|25190|NULL
25195|"Kermadec Island"|53|"Northern New Zealand"|11|"Temperate Australasia"|"meow"|"1673.15178646765"|"1673.107730166235"|25195|NULL
25196|"Northeastern New Zealand"|53|"Northern New Zealand"|11|"Temperate Australasia"|"meow"|"40562.4076782762"|"40563.9989146876"|25196|NULL
25198|"Chatham Island"|54|"Southern New Zealand"|11|"Temperate Australasia"|"meow"|"15576.9786420337"|"15577.342261315394"|25198|NULL
25199|"Central New Zealand"|54|"Southern New Zealand"|11|"Temperate Australasia"|"meow"|"162637.058176972"|"162636.70011915936"|25199|NULL
25230|"Bounty and Antipodes Islands"|62|"Subantarctic New Zealand"|12|"Southern Ocean"|"meow"|"6745.6225529963"|"6745.478550046275"|25230|NULL
