"ecoregion"|"provinc"|"realm"|"first_level_code"|"first_level"|"second_level_code"|"second_level"|"third_level_code"|"third_level"|"source"
"Auckland Island"|"Subantarctic New Zealand"|"Southern Ocean"|"20232"|"Auckland Island"|"62"|"Subantarctic New Zealand"|"12"|"Southern Ocean"|"meow"
"Baffin Bay - Davis Strait"|"Arctic"|"Arctic"|"25007"|"Baffin Bay - Davis Strait"|"1"|"Arctic"|"1"|"Arctic"|"meow"
"Lancaster Sound"|"Arctic"|"Arctic"|"25009"|"Lancaster Sound"|"1"|"Arctic"|"1"|"Arctic"|"meow"
"High Arctic Archipelago"|"Arctic"|"Arctic"|"25010"|"High Arctic Archipelago"|"1"|"Arctic"|"1"|"Arctic"|"meow"
"Eastern Bering Sea"|"Arctic"|"Arctic"|"25014"|"Eastern Bering Sea"|"1"|"Arctic"|"1"|"Arctic"|"meow"
"Aegean Sea"|"Mediterranean Sea"|"Temperate Northern Atlantic"|"25031"|"Aegean Sea"|"4"|"Mediterranean Sea"|"2"|"Temperate Northern Atlantic"|"meow"
"Levantine Sea"|"Mediterranean Sea"|"Temperate Northern Atlantic"|"25032"|"Levantine Sea"|"4"|"Mediterranean Sea"|"2"|"Temperate Northern Atlantic"|"meow"
"Tunisian Plateau/Gulf of Sidra"|"Mediterranean Sea"|"Temperate Northern Atlantic"|"25033"|"Tunisian Plateau/Gulf of Sidra"|"4"|"Mediterranean Sea"|"2"|"Temperate Northern Atlantic"|"meow"
"Ionian Sea"|"Mediterranean Sea"|"Temperate Northern Atlantic"|"25034"|"Ionian Sea"|"4"|"Mediterranean Sea"|"2"|"Temperate Northern Atlantic"|"meow"
"Western Mediterranean"|"Mediterranean Sea"|"Temperate Northern Atlantic"|"25035"|"Western Mediterranean"|"4"|"Mediterranean Sea"|"2"|"Temperate Northern Atlantic"|"meow"
"Alboran Sea"|"Mediterranean Sea"|"Temperate Northern Atlantic"|"25036"|"Alboran Sea"|"4"|"Mediterranean Sea"|"2"|"Temperate Northern Atlantic"|"meow"
"Gulf of Maine/Bay of Fundy"|"Cold Temperate Northwest Atlantic"|"Temperate Northern Atlantic"|"25040"|"Gulf of Maine/Bay of Fundy"|"5"|"Cold Temperate Northwest Atlantic"|"2"|"Temperate Northern Atlantic"|"meow"
"Carolinian"|"Warm Temperate Northwest Atlantic"|"Temperate Northern Atlantic"|"25042"|"Carolinian"|"6"|"Warm Temperate Northwest Atlantic"|"2"|"Temperate Northern Atlantic"|"meow"
"Kamchatka Shelf and Coast"|"Cold Temperate Northwest Pacific"|"Temperate Northern Pacific"|"25046"|"Kamchatka Shelf and Coast"|"8"|"Cold Temperate Northwest Pacific"|"3"|"Temperate Northern Pacific"|"meow"
"North American Pacific Fijordland"|"Cold Temperate Northeast Pacific"|"Temperate Northern Pacific"|"25055"|"North American Pacific Fijordland"|"10"|"Cold Temperate Northeast Pacific"|"3"|"Temperate Northern Pacific"|"meow"
"Puget Trough/Georgia Basin"|"Cold Temperate Northeast Pacific"|"Temperate Northern Pacific"|"25056"|"Puget Trough/Georgia Basin"|"10"|"Cold Temperate Northeast Pacific"|"3"|"Temperate Northern Pacific"|"meow"
"Oregon, Washington, Vancouver Coast and Shelf"|"Cold Temperate Northeast Pacific"|"Temperate Northern Pacific"|"25057"|"Oregon, Washington, Vancouver Coast and Shelf"|"10"|"Cold Temperate Northeast Pacific"|"3"|"Temperate Northern Pacific"|"meow"
"Northern California"|"Cold Temperate Northeast Pacific"|"Temperate Northern Pacific"|"25058"|"Northern California"|"10"|"Cold Temperate Northeast Pacific"|"3"|"Temperate Northern Pacific"|"meow"
"Southern California Bight"|"Warm Temperate Northeast Pacific"|"Temperate Northern Pacific"|"25059"|"Southern California Bight"|"11"|"Warm Temperate Northeast Pacific"|"3"|"Temperate Northern Pacific"|"meow"
"Sahelian Upwelling"|"West African Transition"|"Tropical Atlantic"|"25080"|"Sahelian Upwelling"|"16"|"West African Transition"|"4"|"Tropical Atlantic"|"meow"
"Gulf of Guinea West"|"Gulf of Guinea"|"Tropical Atlantic"|"25081"|"Gulf of Guinea West"|"17"|"Gulf of Guinea"|"4"|"Tropical Atlantic"|"meow"
"Gulf of Guinea South"|"Gulf of Guinea"|"Tropical Atlantic"|"25085"|"Gulf of Guinea South"|"17"|"Gulf of Guinea"|"4"|"Tropical Atlantic"|"meow"
"Angolan"|"Gulf of Guinea"|"Tropical Atlantic"|"25086"|"Angolan"|"17"|"Gulf of Guinea"|"4"|"Tropical Atlantic"|"meow"
"Fiji Islands"|"Tropical Southwestern Pacific"|"Central Indo-Pacific"|"25147"|"Fiji Islands"|"35"|"Tropical Southwestern Pacific"|"6"|"Central Indo-Pacific"|"meow"
"Hawaii"|"Hawaii"|"Eastern Indo-Pacific"|"25152"|"Hawaii"|"37"|"Hawaii"|"7"|"Eastern Indo-Pacific"|"meow"
"Gilbert/Ellis Islands"|"Marshall, Gilbert and Ellis Islands"|"Eastern Indo-Pacific"|"25154"|"Gilbert/Ellis Islands"|"38"|"Marshall, Gilbert and Ellis Islands"|"7"|"Eastern Indo-Pacific"|"meow"
"North Patagonian Gulfs"|"Magellanic"|"Temperate South America"|"25184"|"North Patagonian Gulfs"|"48"|"Magellanic"|"9"|"Temperate South America"|"meow"
"Patagonian Shelf"|"Magellanic"|"Temperate South America"|"25185"|"Patagonian Shelf"|"48"|"Magellanic"|"9"|"Temperate South America"|"meow"
"Namib"|"Benguela"|"Temperate Southern Africa"|"25190"|"Namib"|"50"|"Benguela"|"10"|"Temperate Southern Africa"|"meow"
"Kermadec Island"|"Northern New Zealand"|"Temperate Australasia"|"25195"|"Kermadec Island"|"53"|"Northern New Zealand"|"11"|"Temperate Australasia"|"meow"
"Northeastern New Zealand"|"Northern New Zealand"|"Temperate Australasia"|"25196"|"Northeastern New Zealand"|"53"|"Northern New Zealand"|"11"|"Temperate Australasia"|"meow"
"Chatham Island"|"Southern New Zealand"|"Temperate Australasia"|"25198"|"Chatham Island"|"54"|"Southern New Zealand"|"11"|"Temperate Australasia"|"meow"
"Central New Zealand"|"Southern New Zealand"|"Temperate Australasia"|"25199"|"Central New Zealand"|"54"|"Southern New Zealand"|"11"|"Temperate Australasia"|"meow"
"Bounty and Antipodes Islands"|"Subantarctic New Zealand"|"Southern Ocean"|"25230"|"Bounty and Antipodes Islands"|"62"|"Subantarctic New Zealand"|"12"|"Southern Ocean"|"meow"
