"eco_id"|"first_level_code"|"first_level"|"second_level_code"|"second_level"|"third_level_code"|"third_level"|"source"
"10703"|10703|"Cape York Peninsula tropical savanna"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|1|"Australasia"|"teow"
"10704"|10704|"Carpentaria tropical savanna"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|1|"Australasia"|"teow"
"10705"|10705|"Einasleigh upland savanna"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|1|"Australasia"|"teow"
"10706"|10706|"Kimberly tropical savanna"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|1|"Australasia"|"teow"
"10707"|10707|"Mitchell grass downs"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|1|"Australasia"|"teow"
"10708"|10708|"Trans Fly savanna and grasslands"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|1|"Australasia"|"teow"
"10709"|10709|"Victoria Plains tropical savanna"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|1|"Australasia"|"teow"
"10801"|10801|"Cantebury-Otago tussock grasslands"|8|"Temperate Grasslands, Savannas & Shrublands"|1|"Australasia"|"teow"
"10802"|10802|"Eastern Australia mulga shrublands"|8|"Temperate Grasslands, Savannas & Shrublands"|1|"Australasia"|"teow"
"10803"|10803|"Southeast Australia temperate savanna"|8|"Temperate Grasslands, Savannas & Shrublands"|1|"Australasia"|"teow"
"11001"|11001|"Australian Alps montane grasslands"|10|"Montane Grasslands & Shrublands"|1|"Australasia"|"teow"
"11002"|11002|"Central Range sub-alpine grasslands"|10|"Montane Grasslands & Shrublands"|1|"Australasia"|"teow"
"11003"|11003|"South Island montane grasslands"|10|"Montane Grasslands & Shrublands"|1|"Australasia"|"teow"
"11101"|11101|"Antipodes Subantarctic Islands tundra"|11|"Tundra"|1|"Australasia"|"teow"
"11201"|11201|"Coolgardie woodlands"|12|"Mediterranean Forests, Woodlands & Scrub"|1|"Australasia"|"teow"
"11202"|11202|"Esperance mallee"|12|"Mediterranean Forests, Woodlands & Scrub"|1|"Australasia"|"teow"
"11203"|11203|"Eyre and York mallee"|12|"Mediterranean Forests, Woodlands & Scrub"|1|"Australasia"|"teow"
"11204"|11204|"Jarrah-Karri forest and shrublands"|12|"Mediterranean Forests, Woodlands & Scrub"|1|"Australasia"|"teow"
"11205"|11205|"Swan Coastal Plain Scrub and Woodlands"|12|"Mediterranean Forests, Woodlands & Scrub"|1|"Australasia"|"teow"
"11206"|11206|"Mount Lofty woodlands"|12|"Mediterranean Forests, Woodlands & Scrub"|1|"Australasia"|"teow"
"11207"|11207|"Murray-Darling woodlands and mallee"|12|"Mediterranean Forests, Woodlands & Scrub"|1|"Australasia"|"teow"
"11208"|11208|"Naracoorte woodlands"|12|"Mediterranean Forests, Woodlands & Scrub"|1|"Australasia"|"teow"
"11209"|11209|"Southwest Australia savanna"|12|"Mediterranean Forests, Woodlands & Scrub"|1|"Australasia"|"teow"
"11210"|11210|"Southwest Australia woodlands"|12|"Mediterranean Forests, Woodlands & Scrub"|1|"Australasia"|"teow"
"11301"|11301|"Carnarvon xeric shrublands"|13|"Deserts & Xeric Shrublands"|1|"Australasia"|"teow"
"11302"|11302|"Central Ranges xeric scrub"|13|"Deserts & Xeric Shrublands"|1|"Australasia"|"teow"
"11303"|11303|"Gibson desert"|13|"Deserts & Xeric Shrublands"|1|"Australasia"|"teow"
"11304"|11304|"Great Sandy-Tanami desert"|13|"Deserts & Xeric Shrublands"|1|"Australasia"|"teow"
"11305"|11305|"Great Victoria desert"|13|"Deserts & Xeric Shrublands"|1|"Australasia"|"teow"
"11306"|11306|"Nullarbor Plains xeric shrublands"|13|"Deserts & Xeric Shrublands"|1|"Australasia"|"teow"
"11307"|11307|"Pilbara shrublands"|13|"Deserts & Xeric Shrublands"|1|"Australasia"|"teow"
"11308"|11308|"Simpson desert"|13|"Deserts & Xeric Shrublands"|1|"Australasia"|"teow"
"11309"|11309|"Tirari-Sturt stony desert"|13|"Deserts & Xeric Shrublands"|1|"Australasia"|"teow"
"11310"|11310|"Western Australian Mulga shrublands"|13|"Deserts & Xeric Shrublands"|1|"Australasia"|"teow"
"11401"|11401|"New Guinea mangroves"|14|"Mangroves"|1|"Australasia"|"teow"
"21101"|21101|"Marielandia Antarctic tundra"|11|"Tundra"|2|"Antarctic"|"teow"
"21102"|21102|"Maudlandia Antarctic desert"|11|"Tundra"|2|"Antarctic"|"teow"
"21103"|21103|"Scotia Sea Islands tundra"|11|"Tundra"|2|"Antarctic"|"teow"
"21104"|21104|"Southern Indian Ocean Islands tundra"|11|"Tundra"|2|"Antarctic"|"teow"
"30101"|30101|"Albertine Rift montane forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30102"|30102|"Atlantic Equatorial coastal forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30103"|30103|"Cameroonian Highlands forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30104"|30104|"Central Congolian lowland forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30105"|30105|"Comoros forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30106"|30106|"Cross-Niger transition forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30107"|30107|"Cross-Sanaga-Bioko coastal forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30108"|30108|"East African montane forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30109"|30109|"Eastern Arc forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30110"|30110|"Eastern Congolian swamp forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30111"|30111|"Eastern Guinean forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30112"|30112|"Ethiopian montane forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30113"|30113|"Granitic Seychelles forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30114"|30114|"Guinean montane forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30115"|30115|"Knysna-Amatole montane forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30116"|30116|"KwaZulu-Cape coastal forest mosaic"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30117"|30117|"Madagascar lowland forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30118"|30118|"Madagascar subhumid forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30119"|30119|"Maputaland coastal forest mosaic"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30120"|30120|"Mascarene forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30121"|30121|"Mount Cameroon and Bioko montane forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30122"|30122|"Niger Delta swamp forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30123"|30123|"Nigerian lowland forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30124"|30124|"Northeastern Congolian lowland forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30125"|30125|"Northern Zanzibar-Inhambane coastal forest mosaic"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30126"|30126|"Northwestern Congolian lowland forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30127"|30127|"Sao Tome, Principe and Annobon moist lowland forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30128"|30128|"Southern Zanzibar-Inhambane coastal forest mosaic"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30129"|30129|"Western Congolian swamp forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30130"|30130|"Western Guinean lowland forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"
"30201"|30201|"Cape Verde Islands dry forests"|2|"Tropical & Subtropical Dry Broadleaf Forests"|3|"Afrotropics"|"teow"
"30202"|30202|"Madagascar dry deciduous forests"|2|"Tropical & Subtropical Dry Broadleaf Forests"|3|"Afrotropics"|"teow"
