"fid"|"name"|"source"|"tot_vector_sqkm"|"tot_raster_sqkm"|"ratio_rv"|"prot_raster_sqkm"|"perc_prot"
81311|"Central Asian riparian woodlands"|"teow"|"88800.1485446972"|"88800.08690778207"|"100.00"|"10853.621838519126"|"12.22"
81312|"Central Asian southern desert"|"teow"|"567375.696837607"|"567375.7146402908"|"100.00"|"9803.286035504942"|"1.73"
81313|"Central Persian desert basins"|"teow"|"580655.322365362"|"580640.3907677853"|"100.00"|"70348.96963884385"|"12.12"
81314|"Eastern Gobi desert steppe"|"teow"|"282367.595550652"|"282367.5812200251"|"100.00"|"9440.731782337038"|"3.34"
81315|"Gobi Lakes Valley desert steppe"|"teow"|"139713.048020974"|"139717.41944755462"|"100.00"|"5978.961430579627"|"4.28"
81316|"Great Lakes Basin desert steppe"|"teow"|"157705.828370346"|"157705.83791768388"|"100.00"|"32236.198392141272"|"20.44"
81317|"Junggar Basin semi-desert"|"teow"|"304940.811466529"|"304940.8241394417"|"100.00"|"11491.573796611432"|"3.77"
81318|"Kazakh semi-desert"|"teow"|"680441.664383014"|"680441.6691541509"|"100.00"|"7608.657730864232"|"1.12"
81319|"Kopet Dag semi-desert"|"teow"|"26285.3033243417"|"26285.293570748985"|"100.00"|NULL|NULL
81320|"Mesopotamian shrub desert"|"teow"|"210908.129040582"|"210908.16505768918"|"100.00"|"1781.1367230477958"|"0.84"
81321|"North Saharan steppe and woodlands"|"teow"|"1673404.26188043"|"1673393.191844845"|"100.00"|"64504.895074581575"|"3.85"
81322|"Paropamisus xeric woodlands"|"teow"|"92608.9895088759"|"92608.98846594528"|"100.00"|"451.2164776385846"|"0.49"
81323|"Persian Gulf desert and semi-desert"|"teow"|"71856.0847235727"|"71856.0701627779"|"100.00"|"2720.871174973602"|"3.79"
81324|"Qaidam Basin semi-desert"|"teow"|"192144.470069188"|"192144.47006933508"|"100.00"|NULL|NULL
81325|"Red Sea Nubo-Sindian tropical desert and semi-desert"|"teow"|"649157.989752183"|"649155.5967518084"|"100.00"|"38156.78476919915"|"5.88"
81326|"Registan-North Pakistan sandy desert"|"teow"|"276998.942251405"|"276998.9716216382"|"100.00"|"3987.582684313326"|"1.44"
81327|"Sahara desert"|"teow"|"4629415.47654288"|"4629417.541976232"|"100.00"|"172791.2945086172"|"3.73"
81328|"South Iran Nubo-Sindian desert and semi-desert"|"teow"|"349051.255756479"|"349049.9822560435"|"100.00"|"26121.1916255883"|"7.48"
81329|"South Saharan steppe and woodlands"|"teow"|"1098255.02808363"|"1098255.0377428695"|"100.00"|"124471.10036200391"|"11.33"
81330|"Taklimakan desert"|"teow"|"742657.015167728"|"742657.0151672123"|"100.00"|"329.478422248406"|"0.04"
81331|"Tibesti-Jebel Uweinat montane xeric woodlands"|"teow"|"82009.3160627312"|"82009.3161677655"|"100.00"|"238.0667839365531"|"0.29"
81332|"West Saharan montane xeric woodlands"|"teow"|"257450.334341897"|"257450.34469530202"|"100.00"|"107426.32300957496"|"41.73"
81333|"Red Sea coastal desert"|"teow"|"58941.5150688543"|"58941.44953863523"|"100.00"|"15590.300809169312"|"26.45"
100001|"unassigned_land"|"eeow"|"599232.080967727"|"599201.2149887518"|"99.99"|"143250.27867324877"|"23.91"
